"Permanent_","area..m2.","max.depth..m.","volume..m3.","Depth.Ratio","WBIC","source"
"77358032",570607.26,2.4384,1390997.471,1.00026691,2268600,"WIDNR"
"69884504",772950.26,7.0104,3965644.116,1.36640867,1857400,"WIDNR"
"69885406",186155.56,6.7056,890820.5848,1.401275121,1884200,"WIDNR"
"70331883",874121.76,4.572,2849343.05,1.40259864,1018500,"WIDNR"
"69886372",570607.26,8.8392,3421678.624,1.474046001,2318000,"WIDNR"
"77358124",643450.74,3.6576,1532847.883,1.535367895,2268500,"WIDNR"
"70331641",1525666.22,9.7536,9105229.903,1.634306679,968800,"WIDNR"
"123398051",2606177.84,3.9624,6183937.857,1.669926075,2962900,"WIDNR"
"70331725",902449.78,7.0104,3731282.566,1.695538686,1540400,"WIDNR"
"70331583",1157401.96,4.572,3098506.382,1.707804054,1619100,"WIDNR"
"70332223",234717.88,5.4864,749956.9587,1.717106778,967900,"WIDNR"
"69887056",145686.96,7.9248,672198.2635,1.717558767,2323900,"WIDNR"
"70331867",392545.42,3.6576,811285.6758,1.769751607,1023300,"WIDNR"
"123148130",821512.58,4.572,2091861.852,1.795508394,2959300,"WIDNR"
"123398133",837700.02,3.6576,1660118.539,1.845634225,2964800,"WIDNR"
"70331597",60702.9,9.7536,316412.7616,1.871200777,2046300,"WIDNR"
"70331745",141640.1,9.144,675763.026,1.916584697,1016800,"WIDNR"
"69885728",1226198.58,7.9248,5067513.443,1.917583173,2339900,"WIDNR"
"123148112",1011715,7.3152,3842419.28,1.92610359,2953100,"WIDNR"
"69884776",283280.2,4.2672,626485.4265,1.929515386,2328900,"WIDNR"
"70330809",2116507.78,19.2024,20937737.49,1.941089815,1020300,"WIDNR"
"70331997",837700.02,9.144,3842678.311,1.993382834,1020900,"WIDNR"
"70331809",1092652.2,5.7912,3108004.192,2.035958457,1596600,"WIDNR"
"70331857",40468.6,4.2672,84185.13558,2.051283861,998900,"WIDNR"
"69886510",376357.98,20.4216,3736216.493,2.057116374,1842400,"WIDNR"
"70331799",1359744.96,6.4008,4229609.229,2.057744597,1593800,"WIDNR"
"123398250",1893930.48,18.288,16650154.62,2.080232972,2762200,"WIDNR"
"70330479",2371459.96,12.192,13819313.79,2.092205175,1629500,"WIDNR"
"70332421",696059.92,5.1816,1722927.434,2.093358089,1544700,"WIDNR"
"69885518",951012.1,5.7912,2613513.657,2.107316814,2341500,"WIDNR"
"70330821",2541428.08,13.1064,15492531.91,2.150001896,1623700,"WIDNR"
"69886644",153780.68,9.4488,672173.5939,2.161707783,1839100,"WIDNR"
"123397776",1833227.58,10.0584,8528540.138,2.162074164,2962400,"WIDNR"
"69884432",202343,6.7056,615260.7418,2.205294648,2336700,"WIDNR"
"70332775",1355698.1,14.6304,8973580.386,2.210311228,1616400,"WIDNR"
"70332115",4330140.2,12.4968,24456244.44,2.212641282,1545600,"WIDNR"
"70332127",530138.66,11.5824,2771386.998,2.215597468,1005800,"WIDNR"
"69885142",1125027.08,13.1064,6642299.708,2.219871967,2329300,"WIDNR"
"69885392",3018957.56,21.6408,29391725.99,2.222824777,2339100,"WIDNR"
"70332015",230671.02,5.7912,596783.1838,2.238437756,1599800,"WIDNR"
"123148155",1327370.08,17.0688,10063608.29,2.251341047,2953200,"WIDNR"
"69886948",14095213.38,26.2128,163457066.3,2.260379546,2323000,"WIDNR"
"70331183",708200.5,12.192,3811458.886,2.265374166,991700,"WIDNR"
"123148177",785090.84,9.144,3139211.283,2.286838952,2953800,"WIDNR"
"123397888",3156550.8,9.144,12594466.33,2.291760505,2963800,"WIDNR"
"69886156",1643025.16,7.3152,5211510.113,2.306252389,2332400,"WIDNR"
"69886636",113312.08,6.7056,327859.4731,2.317534023,1847500,"WIDNR"
"69885902",1464963.32,9.7536,6006439.82,2.378891101,2330800,"WIDNR"
"70332193",109265.22,10.3632,471930.152,2.399374829,1004500,"WIDNR"
"70330299",2282429.04,25.908,24615486.95,2.402275108,1630100,"WIDNR"
"69886228",15637067.04,35.6616,230820469.9,2.415915842,2331600,"WIDNR"
"123148199",1242386.02,14.6304,7410758.895,2.452731857,2954500,"WIDNR"
"70331097",1541853.66,10.668,6703973.8,2.453544022,1013800,"WIDNR"
"77358064",52609.18,7.62,162202.862,2.47148507,1885100,"WIDNR"
"123148039",2161023.24,17.3736,15142593.11,2.479413736,2958500,"WIDNR"
"69886562",4779341.66,19.2024,36938217.23,2.484549531,2321100,"WIDNR"
"70332479",52609.18,5.4864,111753.4547,2.582783735,1541700,"WIDNR"
"69886764",825559.44,23.4696,7435428.532,2.605841715,1883800,"WIDNR"
"69886284",3630033.42,21.336,29361801.72,2.637794294,1835300,"WIDNR"
"70332035",562513.54,8.2296,1751852.583,2.64249485,1022900,"WIDNR"
"69885322",2007242.56,18.5928,14001671.75,2.66541454,2329400,"WIDNR"
"69886620",206389.86,13.1064,988512.3466,2.736463607,1847800,"WIDNR"
"69886722",4718638.76,23.7744,40564283.79,2.76555617,2320500,"WIDNR"
"69885958",376357.98,15.8496,2135514.775,2.793295326,1869700,"WIDNR"
"111861557",671778.76,10.668,2547374.361,2.813302953,717400,"WIDNR"
"69887030",6001493.38,26.5176,56362719.2,2.823589832,2322800,"WIDNR"
"70333361",5297339.74,14.0208,25826766.11,2.875812663,1536300,"WIDNR"
"{B014F459-1A91-4EC4-A4D1-FA8139ED843D}",1788712.12,20.7264,12843753.01,2.886505437,2766200,"WIDNR"
"123148000",343983.1,15.8496,1878099.45,2.902931761,2769700,"WIDNR"
"69887044",133546.38,7.0104,319977.5241,2.925872825,2323800,"WIDNR"
"69884644",3346753.22,18.5928,21120280.47,2.946244646,2334700,"WIDNR"
"123148133",2116507.78,13.4112,9415906.974,3.014569836,2954800,"WIDNR"
"69886402",1027902.44,17.3736,5872730.388,3.040896593,2317700,"WIDNR"
"111861635",4050906.86,12.192,15764884.7,3.132827,716800,"WIDNR"
"69885444",1250479.74,24.384,9349792.347,3.261216597,2316600,"WIDNR"
"70330551",570607.26,14.0208,2332020.767,3.43065996,1632200,"WIDNR"
"69885062",558466.68,13.1064,2045359.587,3.578582339,2328800,"WIDNR"
"69886214",1594462.84,26.5176,10882270.19,3.88534075,2321400,"WIDNR"
"69884408",137593.24,23.4696,829639.8856,3.892361447,1832200,"WIDNR"
"69885908",4075188.02,29.8704,30334895.54,4.012787717,2321600,"WIDNR"
"70338361",3933547.92,16.1544,13544235.01,4.691598047,1596300,"WIDNR"
"69886210",5734400.62,18.5928,16847265.02,6.328538416,2321800,"WIDNR"
"69884094",74000,3.45,255300,NA,2337600,"Hanson2007"
"69884606",5000,4,20000,NA,2037400,"Hanson2007"
"69884644",3350000,2.45,8207500,NA,2334700,"Hanson2007"
"69884706",57000,2.95,168150,NA,1832500,"Hanson2007"
"69884736",130000,5.75,747500,NA,1861500,"Hanson2007"
"69884932",3000,3.15,9450,NA,2026800,"Hanson2007"
"69885142",1126000,8.75,9852500,NA,2329300,"Hanson2007"
"69885370",12000,3,36000,NA,2025330,"Hanson2007"
"69885412",54000,8.8,475200,NA,2316800,"Hanson2007"
"69885512",241000,7.2,1735200,NA,1846900,"Hanson2007"
"69885628",1132000,10.9,12338800,NA,2339800,"Hanson2007"
"69885728",1227000,8,9816000,NA,2339900,"Hanson2007"
"69885826",511000,2,1022000,NA,1880700,"Hanson2007"
"69886164",28000,1.7,47600,NA,2330500,"Hanson2007"
"69886214",1597000,20.4,32578800,NA,2321400,"Hanson2007"
"69886334",34000,3.45,117300,NA,2015100,"Hanson2007"
"69886472",6000,2.5,15000,NA,2017500,"Hanson2007"
"69886598",73000,5.75,419750,NA,2016000,"Hanson2007"
"69886804",62000,3.25,201500,NA,1867700,"Hanson2007"
"69886852",289000,8,2312000,NA,1886100,"Hanson2007"
"69886918",568000,6.9,3919200,NA,2323400,"Hanson2007"
"70330265",88000,6.2,545600,NA,999100,"Hanson2007"
"70330275",258786.5,4.45,1151599.925,NA,998600,"Hanson2007"
"70330295",374000,3.6,1346400,NA,971700,"Hanson2007"
"70330299",2283000,24,54792000,NA,1630100,"Hanson2007"
"70330491",5000,5.9,29500,NA,1172900,"Hanson2007"
"70330529",220000,8.5,1870000,NA,1631700,"Hanson2007"
"70330683",263000,4.2,1104600,NA,989000,"Hanson2007"
"70330725",31000,8.2,254200,NA,1173500,"Hanson2007"
"70330803",5781000,9.2,53185200,NA,1602600,"Hanson2007"
"70330813",105000,14.8,1554000,NA,1008400,"Hanson2007"
"70330855",39000,1.5,58500,NA,972200,"Hanson2007"
"70330955",12000,0.7,8400,NA,1166500,"Hanson2007"
"70331135",68000,3.45,234600,NA,1178800,"Hanson2007"
"70331249",129000,4.7,606300,NA,1178200,"Hanson2007"
"70331641",1527000,9.2,14048400,NA,968800,"Hanson2007"
"70331669",73000,10.7,781100,NA,1009900,"Hanson2007"
"70331697",1373000,4.5,6178500,NA,976100,"Hanson2007"
"70331725",902000,4.28,3860560,NA,1540400,"Hanson2007"
"70331729",18000,1,18000,NA,1163900,"Hanson2007"
"70331801",31000,3.45,106950,NA,971000,"Hanson2007"
"70331859",90000,2.1,189000,NA,993500,"Hanson2007"
"70331869",20000,4.6,92000,NA,1162500,"Hanson2007"
"70331873",13000,4.3,55900,NA,994200,"Hanson2007"
"70331945",29000,4,116000,NA,1162600,"Hanson2007"
"70332107",419000,5.8,2430200,NA,972100,"Hanson2007"
"70332177",15000,0.85,12750,NA,1161500,"Hanson2007"
"70332197",124000,11.4,1413600,NA,1013200,"Hanson2007"
"70332287",51000,9.1,464100,NA,984000,"Hanson2007"
"70332911",22000,7.65,168300,NA,1155000,"Hanson2007"
"77358064",54000,7,378000,NA,1885100,"Hanson2007"
"77358094",34000,0.5,17000,NA,2002700,"Hanson2007"
"111861461",139000,2.5,347500,NA,591300,"Hanson2007"
"111861499",14000,0.9,12600,NA,607825,"Hanson2007"
"120020868",841598.5,4.85,4081752.725,NA,1631500,"Hanson2007"
"123148047",108000,2.6,280800,NA,2759400,"Hanson2007"
"123148076",145000,7.7,1116500,NA,2758200,"Hanson2007"
"123148170",18000,10.1,181800,NA,2779500,"Hanson2007"
"123148231",109000,4.6,501400,NA,2954700,"Hanson2007"
"123398085",7000,3.3,23100,NA,2782200,"Hanson2007"
"123398210",96000,6.3,604800,NA,2768200,"Hanson2007"
